502881b152701562be000055	253682	iphone	unknow	宮爆老奶奶FREE	560982405
4ea5269152701509b8000002	143443	iphone	unknow	HOT男人_iphone_itunes	475707064
503e3ca3527015253a000003	87671	iphone	unknow	TouchPal Contacts (iOS)	503130474
50625fdd527015118e000451	64772	iphone	unknow	博雅鬥地主iPhone	439632996
4f73e9a2527015286b000005	57134	iphone	unknow	宮爆老奶奶	479468678
4dddc868431fe30f2f0000bb	48555	iphone	unknow	(Y)360应用管家_iphone	441211271
4e166675431fe33ca3000168	34759	iphone	unknow	装机必备HD_ipad	453174501
4c844aa91d41c8496001d65e	30037	iphone	unknow	Apabi Reader for iOS	377594275
4fbc92475270152d9c0000a7	28247	iphone	unknow	iPhone_Answer	530828994
505bd26b527015104c00004d	21346	iphone	unknow	博雅锄大地iPhone_HK	444393604
5062604552701569d100024d	20917	iphone	unknow	博雅鬥地主iPad	488002315
512b0cc75270154650000045	17075	iphone	unknow	石器时代网游正式版(iphone)	876543000
4f0a71be52701570ac000004	17025	iphone	unknow	iphone_开放阅读	490618045
505bd39d5270156600000065	13730	iphone	unknow	博雅锄大地iPad_HK	427095361
507dea9a5270154cdb000002	9372	iphone	unknow	参考消息	573391750
505044a6527015754b0003a9	9100	iphone	unknow	TextCutie for iphone	561644535
50d983d952701506b3000032	8374	iphone	unknow	博雅四人斗地主Iphone FB繁体	561881654
4d800fe0112cf760c40256f2	8295	iphone	unknow	(Y)热门应用_ipad	424776269
4ed0c9755270150c7000000d	8200	iphone	unknow	条码比价	486201758
50ca07185270155d45000054	8019	iphone	unknow	故事会	587424229
4f9907865270154c3a000029	7937	iphone	unknow	宝宝学ABC_ipad版_阿拉伯	524627244
514bedf256240b5053000816	7002	iphone	unknow	HorseRacingPlus-EN	622426714
4f99060f5270154c4700002f	6717	iphone	unknow	宝宝学颜色_ipad版_阿拉伯	524628778
4f964b4f527015124a00003b	6712	iphone	unknow	在线导航iOS（小蜜）	523399653
4f162de75270151de4000087	5413	iphone	unknow	【百姓网】for iPhone	496164051
